證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","7,666,763","604,180,835","78.65","79.05","78.35","79.05","+1.35","3,677"
"0051","元大中型100","12,000","369,900","30.90","30.90","30.80","30.83","+0.28","6"
"0052","富邦科技","106,100","5,431,509","50.90","51.20","50.90","51.20","+1.00","11"
"0053","元大電子","11,000","359,790","32.75","32.90","32.50","32.90","+0.74","7"
"0054","元大台商50","12,000","253,160","21.08","21.10","21.08","21.10","+0.30","4"
"0055","元大MSCI金融","207,603","3,745,902","17.98","18.10","17.98","18.10","+0.19","63"
"0056","元大高股息","4,686,447","121,479,396","25.90","25.99","25.87","25.99","+0.30","2,291"
"0057","富邦摩台","24,000","1,193,640","49.48","49.80","49.48","49.77","+0.85","5"
"0058","富邦發達","22,000","990,610","44.91","45.04","44.90","45.04","+0.31","5"
"0059","富邦金融","28,000","1,296,840","46.21","46.35","46.17","46.35","+0.71","5"
"0061","元大寶滬深","1,177,823","20,110,081","17.06","17.12","16.99","17.06","+0.07","243"
"006203","元大MSCI台灣","1,000","36,790","36.79","36.79","36.79","36.79","+0.76","1"
"006204","永豐臺灣加權","4,000","208,000","51.85","52.05","51.85","52.05","+0.50","2"
"006205","富邦上証","1,870,479","56,130,205","29.99","30.09","29.80","30.06","+0.22","216"
"006206","元大上證50","609,482","19,044,213","31.22","31.45","31.04","31.33","+0.29","156"
"006207","FH滬深","266,200","5,917,932","22.16","22.36","22.11","22.36","+0.22","85"
"006208","富邦台50","143,152","6,431,479","44.98","45.14","44.73","45.14","+0.88","128"
"00625K","富邦上証+R","55,000","367,300","6.66","6.68","6.66","6.68","+0.04","3"
"00631L","元大台灣50正2","3,115,281","114,849,645","36.63","37.10","36.40","37.10","+1.25","1,032"
"00632R","元大台灣50反1","115,252,110","1,392,188,241","12.14","12.19","12.05","12.05","-0.21","6,458"
"00633L","富邦上証正2","41,033,300","1,696,589,134","41.06","41.80","40.55","41.56","+1.17","6,778"
